HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,3000,0.0783018,1,7.64245,1.48382e-07,7.64245
"30,30,30,30,30",0.0001,3000,0.0783018,2,7.60493,2.03577e-07,7.60493
"30,30,30,30,30",0.0001,3000,0.0783018,3,7.57807,2.55553e-07,7.57807
"30,30,30,30,30",0.0001,3000,0.0783018,4,7.55582,3.01689e-07,7.55582
"30,30,30,30,30",0.0001,3000,0.0783018,5,7.53626,3.42085e-07,7.53626
"30,30,30,30,30",0.0001,3000,0.0783018,6,7.5185,3.76996e-07,7.5185
"30,30,30,30,30",0.0001,3000,0.0783018,7,7.50205,4.07328e-07,7.50205
"30,30,30,30,30",0.0001,3000,0.0783018,8,7.48661,4.34148e-07,7.48661
"30,30,30,30,30",0.0001,3000,0.0783018,9,7.47196,4.5841e-07,7.47196
"30,30,30,30,30",0.0001,3000,0.0783018,10,7.45796,4.80888e-07,7.45796
"30,30,30,30,30",0.0001,3000,0.0783018,11,7.4445,5.02274e-07,7.44451
"30,30,30,30,30",0.0001,3000,0.0783018,12,7.4315,5.2327e-07,7.4315
"30,30,30,30,30",0.0001,3000,0.0783018,13,7.41888,5.44625e-07,7.41888
"30,30,30,30,30",0.0001,3000,0.0783018,14,7.4066,5.67143e-07,7.4066
"30,30,30,30,30",0.0001,3000,0.0783018,15,7.39461,5.91654e-07,7.39461
"30,30,30,30,30",0.0001,3000,0.0783018,16,7.38286,6.18991e-07,7.38286
"30,30,30,30,30",0.0001,3000,0.0783018,17,7.37134,6.4998e-07,7.37134
"30,30,30,30,30",0.0001,3000,0.0783018,18,7.36001,6.8544e-07,7.36001
"30,30,30,30,30",0.0001,3000,0.0783018,19,7.34886,7.26188e-07,7.34886
"30,30,30,30,30",0.0001,3000,0.0783018,20,7.33785,7.73035e-07,7.33785
"30,30,30,30,30",0.0001,3000,0.0783018,21,7.32697,8.26794e-07,7.32697
"30,30,30,30,30",0.0001,3000,0.0783018,22,7.3162,8.88279e-07,7.3162
"30,30,30,30,30",0.0001,3000,0.0783018,23,7.30553,9.5831e-07,7.30553
"30,30,30,30,30",0.0001,3000,0.0783018,24,7.29495,1.03772e-06,7.29495
"30,30,30,30,30",0.0001,3000,0.0783018,25,7.28444,1.12739e-06,7.28445
"30,30,30,30,30",0.0001,3000,0.0783018,26,7.274,1.22825e-06,7.274
"30,30,30,30,30",0.0001,3000,0.0783018,27,7.26361,1.34131e-06,7.26361
"30,30,30,30,30",0.0001,3000,0.0783018,28,7.25326,1.46765e-06,7.25326
"30,30,30,30,30",0.0001,3000,0.0783018,29,7.24295,1.60839e-06,7.24295
"30,30,30,30,30",0.0001,3000,0.0783018,30,7.23266,1.76474e-06,7.23266
"30,30,30,30,30",0.0001,3000,0.0783018,31,7.22239,1.93792e-06,7.22239
"30,30,30,30,30",0.0001,3000,0.0783018,32,7.21213,2.1292e-06,7.21214
"30,30,30,30,30",0.0001,3000,0.0783018,33,7.20188,2.3399e-06,7.20188
"30,30,30,30,30",0.0001,3000,0.0783018,34,7.19163,2.57138e-06,7.19163
"30,30,30,30,30",0.0001,3000,0.0783018,35,7.18137,2.82502e-06,7.18138
"30,30,30,30,30",0.0001,3000,0.0783018,36,7.1711,3.10226e-06,7.17111
"30,30,30,30,30",0.0001,3000,0.0783018,37,7.16082,3.40457e-06,7.16082
"30,30,30,30,30",0.0001,3000,0.0783018,38,7.15051,3.73344e-06,7.15051
"30,30,30,30,30",0.0001,3000,0.0783018,39,7.14017,4.09042e-06,7.14018
"30,30,30,30,30",0.0001,3000,0.0783018,40,7.12981,4.47711e-06,7.12981
"30,30,30,30,30",0.0001,3000,0.0783018,41,7.11941,4.89514e-06,7.11942
"30,30,30,30,30",0.0001,3000,0.0783018,42,7.10897,5.34623e-06,7.10898
"30,30,30,30,30",0.0001,3000,0.0783018,43,7.0985,5.83213e-06,7.0985
"30,30,30,30,30",0.0001,3000,0.0783018,44,7.08797,6.35466e-06,7.08798
"30,30,30,30,30",0.0001,3000,0.0783018,45,7.0774,6.91572e-06,7.07741
"30,30,30,30,30",0.0001,3000,0.0783018,46,7.06677,7.51725e-06,7.06678
"30,30,30,30,30",0.0001,3000,0.0783018,47,7.05609,8.16125e-06,7.0561
"30,30,30,30,30",0.0001,3000,0.0783018,48,7.04536,8.84982e-06,7.04536
"30,30,30,30,30",0.0001,3000,0.0783018,49,7.03456,9.58507e-06,7.03457
"30,30,30,30,30",0.0001,3000,0.0783018,50,7.02369,1.03692e-05,7.0237
"30,30,30,30,30",0.0001,3000,0.0783018,51,7.01276,1.12046e-05,7.01277
"30,30,30,30,30",0.0001,3000,0.0783018,52,7.00176,1.20935e-05,7.00178
"30,30,30,30,30",0.0001,3000,0.0783018,53,6.99069,1.30384e-05,6.9907
"30,30,30,30,30",0.0001,3000,0.0783018,54,6.97955,1.40418e-05,6.97956
