HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20,20,20",0.001,3000,0.0783018,1,8.06702,0,8.06702
"20,20,20,20,20,20,20",0.001,3000,0.0783018,2,7.78373,0,7.78373
"20,20,20,20,20,20,20",0.001,3000,0.0783018,3,7.56665,0,7.56665
"20,20,20,20,20,20,20",0.001,3000,0.0783018,4,7.35496,0,7.35496
"20,20,20,20,20,20,20",0.001,3000,0.0783018,5,7.12399,0,7.12399
"20,20,20,20,20,20,20",0.001,3000,0.0783018,6,6.84718,0,6.84718
"20,20,20,20,20,20,20",0.001,3000,0.0783018,7,6.48538,0,6.48538
"20,20,20,20,20,20,20",0.001,3000,0.0783018,8,5.97618,0,5.97618
"20,20,20,20,20,20,20",0.001,3000,0.0783018,9,5.22414,0,5.22414
"20,20,20,20,20,20,20",0.001,3000,0.0783018,10,4.10015,0,4.10015
"20,20,20,20,20,20,20",0.001,3000,0.0783018,11,2.56772,0,2.56772
"20,20,20,20,20,20,20",0.001,3000,0.0783018,12,1.18433,0,1.18433
"20,20,20,20,20,20,20",0.001,3000,0.0783018,13,0.717438,0,0.717438
"20,20,20,20,20,20,20",0.001,3000,0.0783018,14,0.594555,0,0.594555
"20,20,20,20,20,20,20",0.001,3000,0.0783018,15,0.523053,0,0.523053
"20,20,20,20,20,20,20",0.001,3000,0.0783018,16,0.476431,0,0.476431
"20,20,20,20,20,20,20",0.001,3000,0.0783018,17,0.439374,0,0.439374
"20,20,20,20,20,20,20",0.001,3000,0.0783018,18,0.409094,0,0.409094
"20,20,20,20,20,20,20",0.001,3000,0.0783018,19,0.385609,0,0.385609
"20,20,20,20,20,20,20",0.001,3000,0.0783018,20,0.36664,0,0.36664
"20,20,20,20,20,20,20",0.001,3000,0.0783018,21,0.350609,0,0.350609
"20,20,20,20,20,20,20",0.001,3000,0.0783018,22,0.336474,0,0.336474
"20,20,20,20,20,20,20",0.001,3000,0.0783018,23,0.323728,0,0.323728
"20,20,20,20,20,20,20",0.001,3000,0.0783018,24,0.312028,0,0.312028
"20,20,20,20,20,20,20",0.001,3000,0.0783018,25,0.301183,0,0.301183
"20,20,20,20,20,20,20",0.001,3000,0.0783018,26,0.291046,0,0.291046
"20,20,20,20,20,20,20",0.001,3000,0.0783018,27,0.281527,0,0.281527
"20,20,20,20,20,20,20",0.001,3000,0.0783018,28,0.272545,0,0.272545
