HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20",0.001,3000,0.0783018,1,7.25478,0,7.25478
"20,20,20,20,20",0.001,3000,0.0783018,2,6.94668,0,6.94668
"20,20,20,20,20",0.001,3000,0.0783018,3,6.71514,0,6.71514
"20,20,20,20,20",0.001,3000,0.0783018,4,6.48764,0,6.48764
"20,20,20,20,20",0.001,3000,0.0783018,5,6.2334,0,6.2334
"20,20,20,20,20",0.001,3000,0.0783018,6,5.92329,0,5.92329
"20,20,20,20,20",0.001,3000,0.0783018,7,5.52498,0,5.52498
"20,20,20,20,20",0.001,3000,0.0783018,8,5.00464,0,5.00464
"20,20,20,20,20",0.001,3000,0.0783018,9,4.33544,0,4.33544
"20,20,20,20,20",0.001,3000,0.0783018,10,3.52275,0,3.52275
"20,20,20,20,20",0.001,3000,0.0783018,11,2.64289,0,2.64289
"20,20,20,20,20",0.001,3000,0.0783018,12,1.85624,0,1.85624
"20,20,20,20,20",0.001,3000,0.0783018,13,1.31618,0,1.31618
"20,20,20,20,20",0.001,3000,0.0783018,14,0.990779,0,0.990779
"20,20,20,20,20",0.001,3000,0.0783018,15,0.781237,0,0.781237
"20,20,20,20,20",0.001,3000,0.0783018,16,0.632673,0,0.632673
"20,20,20,20,20",0.001,3000,0.0783018,17,0.526745,0,0.526745
"20,20,20,20,20",0.001,3000,0.0783018,18,0.451615,0,0.451615
"20,20,20,20,20",0.001,3000,0.0783018,19,0.398808,0,0.398808
"20,20,20,20,20",0.001,3000,0.0783018,20,0.361309,0,0.361309
"20,20,20,20,20",0.001,3000,0.0783018,21,0.334351,0,0.334351
"20,20,20,20,20",0.001,3000,0.0783018,22,0.314473,0,0.314473
"20,20,20,20,20",0.001,3000,0.0783018,23,0.299423,0,0.299423
"20,20,20,20,20",0.001,3000,0.0783018,24,0.287642,0,0.287642
"20,20,20,20,20",0.001,3000,0.0783018,25,0.278109,0,0.278109
"20,20,20,20,20",0.001,3000,0.0783018,26,0.270125,0,0.270125
"20,20,20,20,20",0.001,3000,0.0783018,27,0.263224,0,0.263224
"20,20,20,20,20",0.001,3000,0.0783018,28,0.257095,0,0.257095
"20,20,20,20,20",0.001,3000,0.0783018,29,0.251526,0,0.251526
"20,20,20,20,20",0.001,3000,0.0783018,30,0.246377,0,0.246377
"20,20,20,20,20",0.001,3000,0.0783018,31,0.241549,0,0.241549
"20,20,20,20,20",0.001,3000,0.0783018,32,0.23698,0,0.23698
"20,20,20,20,20",0.001,3000,0.0783018,33,0.232617,0,0.232617
"20,20,20,20,20",0.001,3000,0.0783018,34,0.228431,0,0.228431
"20,20,20,20,20",0.001,3000,0.0783018,35,0.224393,0,0.224393
"20,20,20,20,20",0.001,3000,0.0783018,36,0.220486,0,0.220486
"20,20,20,20,20",0.001,3000,0.0783018,37,0.216695,0,0.216695
"20,20,20,20,20",0.001,3000,0.0783018,38,0.21301,0,0.21301
"20,20,20,20,20",0.001,3000,0.0783018,39,0.209419,0,0.209419
"20,20,20,20,20",0.001,3000,0.0783018,40,0.205916,0,0.205916
"20,20,20,20,20",0.001,3000,0.0783018,41,0.202494,0,0.202494
"20,20,20,20,20",0.001,3000,0.0783018,42,0.199148,0,0.199148
"20,20,20,20,20",0.001,3000,0.0783018,43,0.195873,0,0.195873
"20,20,20,20,20",0.001,3000,0.0783018,44,0.192665,0,0.192665
"20,20,20,20,20",0.001,3000,0.0783018,45,0.189519,0,0.189519
"20,20,20,20,20",0.001,3000,0.0783018,46,0.186435,0,0.186435
"20,20,20,20,20",0.001,3000,0.0783018,47,0.183406,0,0.183406
"20,20,20,20,20",0.001,3000,0.0783018,48,0.180433,0,0.180433
"20,20,20,20,20",0.001,3000,0.0783018,49,0.177512,0,0.177512
"20,20,20,20,20",0.001,3000,0.0783018,50,0.174642,0,0.174642
"20,20,20,20,20",0.001,3000,0.0783018,51,0.171821,0,0.171821
"20,20,20,20,20",0.001,3000,0.0783018,52,0.169047,0,0.169047
"20,20,20,20,20",0.001,3000,0.0783018,53,0.16632,0,0.16632
"20,20,20,20,20",0.001,3000,0.0783018,54,0.163638,0,0.163638
"20,20,20,20,20",0.001,3000,0.0783018,55,0.161001,0,0.161001
