HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0783018,1,7.58863,0,7.58863
"30,30,30,30,30",0.0001,50000,0.0783018,2,7.5505,0,7.5505
"30,30,30,30,30",0.0001,50000,0.0783018,3,7.5236,0,7.5236
"30,30,30,30,30",0.0001,50000,0.0783018,4,7.50154,0,7.50154
"30,30,30,30,30",0.0001,50000,0.0783018,5,7.48233,0,7.48233
"30,30,30,30,30",0.0001,50000,0.0783018,6,7.46505,0,7.46505
"30,30,30,30,30",0.0001,50000,0.0783018,7,7.44917,0,7.44917
"30,30,30,30,30",0.0001,50000,0.0783018,8,7.43436,0,7.43436
"30,30,30,30,30",0.0001,50000,0.0783018,9,7.4204,0,7.4204
"30,30,30,30,30",0.0001,50000,0.0783018,10,7.40714,0,7.40714
"30,30,30,30,30",0.0001,50000,0.0783018,11,7.39445,0,7.39445
"30,30,30,30,30",0.0001,50000,0.0783018,12,7.38225,0,7.38225
"30,30,30,30,30",0.0001,50000,0.0783018,13,7.37046,0,7.37046
"30,30,30,30,30",0.0001,50000,0.0783018,14,7.35903,0,7.35903
"30,30,30,30,30",0.0001,50000,0.0783018,15,7.34792,0,7.34792
"30,30,30,30,30",0.0001,50000,0.0783018,16,7.33708,0,7.33708
"30,30,30,30,30",0.0001,50000,0.0783018,17,7.32649,0,7.32649
"30,30,30,30,30",0.0001,50000,0.0783018,18,7.31611,0,7.31611
"30,30,30,30,30",0.0001,50000,0.0783018,19,7.30592,0,7.30592
"30,30,30,30,30",0.0001,50000,0.0783018,20,7.2959,0,7.2959
"30,30,30,30,30",0.0001,50000,0.0783018,21,7.28604,0,7.28604
"30,30,30,30,30",0.0001,50000,0.0783018,22,7.27631,0,7.27631
"30,30,30,30,30",0.0001,50000,0.0783018,23,7.2667,0,7.2667
"30,30,30,30,30",0.0001,50000,0.0783018,24,7.2572,0,7.2572
"30,30,30,30,30",0.0001,50000,0.0783018,25,7.24779,0,7.24779
"30,30,30,30,30",0.0001,50000,0.0783018,26,7.23848,0,7.23848
"30,30,30,30,30",0.0001,50000,0.0783018,27,7.22923,0,7.22923
"30,30,30,30,30",0.0001,50000,0.0783018,28,7.22006,0,7.22006
"30,30,30,30,30",0.0001,50000,0.0783018,29,7.21095,0,7.21095
"30,30,30,30,30",0.0001,50000,0.0783018,30,7.20188,0,7.20188
"30,30,30,30,30",0.0001,50000,0.0783018,31,7.19286,0,7.19286
"30,30,30,30,30",0.0001,50000,0.0783018,32,7.18389,0,7.18389
"30,30,30,30,30",0.0001,50000,0.0783018,33,7.17494,0,7.17494
"30,30,30,30,30",0.0001,50000,0.0783018,34,7.16602,0,7.16602
"30,30,30,30,30",0.0001,50000,0.0783018,35,7.15713,0,7.15713
"30,30,30,30,30",0.0001,50000,0.0783018,36,7.14825,0,7.14825
"30,30,30,30,30",0.0001,50000,0.0783018,37,7.13938,0,7.13938
"30,30,30,30,30",0.0001,50000,0.0783018,38,7.13053,0,7.13053
"30,30,30,30,30",0.0001,50000,0.0783018,39,7.12168,0,7.12168
"30,30,30,30,30",0.0001,50000,0.0783018,40,7.11283,0,7.11283
"30,30,30,30,30",0.0001,50000,0.0783018,41,7.10398,0,7.10398
"30,30,30,30,30",0.0001,50000,0.0783018,42,7.09513,0,7.09513
"30,30,30,30,30",0.0001,50000,0.0783018,43,7.08627,0,7.08627
"30,30,30,30,30",0.0001,50000,0.0783018,44,7.0774,0,7.0774
"30,30,30,30,30",0.0001,50000,0.0783018,45,7.06851,0,7.06851
"30,30,30,30,30",0.0001,50000,0.0783018,46,7.0596,0,7.0596
