HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0783018,1,8.45182,1.69827e-06,8.45183
"30,30,30,30,30",0.0001,50000,0.0783018,2,8.41405,1.84938e-06,8.41405
"30,30,30,30,30",0.0001,50000,0.0783018,3,8.38757,1.99227e-06,8.38757
"30,30,30,30,30",0.0001,50000,0.0783018,4,8.36597,2.12646e-06,8.36597
"30,30,30,30,30",0.0001,50000,0.0783018,5,8.34722,2.25585e-06,8.34723
"30,30,30,30,30",0.0001,50000,0.0783018,6,8.33039,2.38255e-06,8.33039
"30,30,30,30,30",0.0001,50000,0.0783018,7,8.31495,2.50787e-06,8.31495
"30,30,30,30,30",0.0001,50000,0.0783018,8,8.30057,2.63284e-06,8.30057
"30,30,30,30,30",0.0001,50000,0.0783018,9,8.28702,2.7582e-06,8.28703
"30,30,30,30,30",0.0001,50000,0.0783018,10,8.27416,2.8843e-06,8.27416
"30,30,30,30,30",0.0001,50000,0.0783018,11,8.26186,3.01119e-06,8.26186
"30,30,30,30,30",0.0001,50000,0.0783018,12,8.25004,3.13885e-06,8.25004
"30,30,30,30,30",0.0001,50000,0.0783018,13,8.23863,3.26725e-06,8.23863
"30,30,30,30,30",0.0001,50000,0.0783018,14,8.22757,3.39638e-06,8.22757
"30,30,30,30,30",0.0001,50000,0.0783018,15,8.21681,3.52634e-06,8.21682
"30,30,30,30,30",0.0001,50000,0.0783018,16,8.20633,3.65732e-06,8.20634
"30,30,30,30,30",0.0001,50000,0.0783018,17,8.19609,3.78954e-06,8.19609
"30,30,30,30,30",0.0001,50000,0.0783018,18,8.18606,3.92322e-06,8.18607
"30,30,30,30,30",0.0001,50000,0.0783018,19,8.17623,4.05855e-06,8.17623
"30,30,30,30,30",0.0001,50000,0.0783018,20,8.16657,4.19571e-06,8.16657
"30,30,30,30,30",0.0001,50000,0.0783018,21,8.15706,4.33479e-06,8.15706
"30,30,30,30,30",0.0001,50000,0.0783018,22,8.14769,4.4759e-06,8.1477
"30,30,30,30,30",0.0001,50000,0.0783018,23,8.13845,4.61908e-06,8.13846
"30,30,30,30,30",0.0001,50000,0.0783018,24,8.12933,4.76437e-06,8.12933
"30,30,30,30,30",0.0001,50000,0.0783018,25,8.12031,4.91178e-06,8.12032
"30,30,30,30,30",0.0001,50000,0.0783018,26,8.11139,5.06132e-06,8.11139
"30,30,30,30,30",0.0001,50000,0.0783018,27,8.10255,5.213e-06,8.10256
"30,30,30,30,30",0.0001,50000,0.0783018,28,8.0938,5.36679e-06,8.0938
"30,30,30,30,30",0.0001,50000,0.0783018,29,8.08511,5.52269e-06,8.08512
"30,30,30,30,30",0.0001,50000,0.0783018,30,8.0765,5.68065e-06,8.0765
"30,30,30,30,30",0.0001,50000,0.0783018,31,8.06794,5.84067e-06,8.06795
"30,30,30,30,30",0.0001,50000,0.0783018,32,8.05944,6.0027e-06,8.05945
"30,30,30,30,30",0.0001,50000,0.0783018,33,8.05099,6.16672e-06,8.05099
"30,30,30,30,30",0.0001,50000,0.0783018,34,8.04258,6.33273e-06,8.04259
"30,30,30,30,30",0.0001,50000,0.0783018,35,8.03421,6.5007e-06,8.03422
"30,30,30,30,30",0.0001,50000,0.0783018,36,8.02589,6.67065e-06,8.02589
"30,30,30,30,30",0.0001,50000,0.0783018,37,8.01759,6.8426e-06,8.0176
"30,30,30,30,30",0.0001,50000,0.0783018,38,8.00932,7.01656e-06,8.00933
"30,30,30,30,30",0.0001,50000,0.0783018,39,8.00108,7.19259e-06,8.00109
