HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"20,20,20,20,20",0.001,3000,0.0783018,1,8.44234,3.72278e-07,8.44234
"20,20,20,20,20",0.001,3000,0.0783018,2,8.13121,3.4842e-07,8.13121
"20,20,20,20,20",0.001,3000,0.0783018,3,7.89175,4.5138e-06,7.89175
"20,20,20,20,20",0.001,3000,0.0783018,4,7.66514,2.04567e-05,7.66516
"20,20,20,20,20",0.001,3000,0.0783018,5,7.4267,7.74696e-05,7.42678
"20,20,20,20,20",0.001,3000,0.0783018,6,7.15636,0.000246533,7.1566
"20,20,20,20,20",0.001,3000,0.0783018,7,6.83669,0.000675604,6.83736
"20,20,20,20,20",0.001,3000,0.0783018,8,6.45826,0.00151988,6.45978
"20,20,20,20,20",0.001,3000,0.0783018,9,6.0232,0.00323934,6.02644
"20,20,20,20,20",0.001,3000,0.0783018,10,5.53946,0.00628955,5.54575
"20,20,20,20,20",0.001,3000,0.0783018,11,5.00564,0.0117878,5.01743
"20,20,20,20,20",0.001,3000,0.0783018,12,4.41776,0.0190996,4.43686
"20,20,20,20,20",0.001,3000,0.0783018,13,3.77534,0.0293612,3.8047
"20,20,20,20,20",0.001,3000,0.0783018,14,3.09721,0.0421386,3.13935
"20,20,20,20,20",0.001,3000,0.0783018,15,2.42396,0.0592452,2.48321
"20,20,20,20,20",0.001,3000,0.0783018,16,1.82045,0.0765127,1.89696
"20,20,20,20,20",0.001,3000,0.0783018,17,1.33567,0.0965075,1.43218
"20,20,20,20,20",0.001,3000,0.0783018,18,1.00424,0.107555,1.1118
"20,20,20,20,20",0.001,3000,0.0783018,19,0.793985,0.124587,0.918572
"20,20,20,20,20",0.001,3000,0.0783018,20,0.691323,0.118524,0.809847
"20,20,20,20,20",0.001,3000,0.0783018,21,0.612448,0.128703,0.741151
"20,20,20,20,20",0.001,3000,0.0783018,22,0.576015,0.117873,0.693888
"20,20,20,20,20",0.001,3000,0.0783018,23,0.539266,0.117948,0.657214
"20,20,20,20,20",0.001,3000,0.0783018,24,0.518291,0.10831,0.626601
"20,20,20,20,20",0.001,3000,0.0783018,25,0.495397,0.104371,0.599769
"20,20,20,20,20",0.001,3000,0.0783018,26,0.479481,0.0960171,0.575498
"20,20,20,20,20",0.001,3000,0.0783018,27,0.46229,0.0907646,0.553055
"20,20,20,20,20",0.001,3000,0.0783018,28,0.448576,0.0834503,0.532026
"20,20,20,20,20",0.001,3000,0.0783018,29,0.434233,0.0779182,0.512152
"20,20,20,20,20",0.001,3000,0.0783018,30,0.421835,0.0714542,0.493289
"20,20,20,20,20",0.001,3000,0.0783018,31,0.40927,0.0660782,0.475348
"20,20,20,20,20",0.001,3000,0.0783018,32,0.397936,0.060349,0.458286
"20,20,20,20,20",0.001,3000,0.0783018,33,0.386737,0.0553425,0.442079
"20,20,20,20,20",0.001,3000,0.0783018,34,0.376427,0.0503028,0.42673
"20,20,20,20,20",0.001,3000,0.0783018,35,0.36644,0.0458061,0.412246
"20,20,20,20,20",0.001,3000,0.0783018,36,0.357175,0.041471,0.398646
"20,20,20,20,20",0.001,3000,0.0783018,37,0.348346,0.0376023,0.385948
"20,20,20,20,20",0.001,3000,0.0783018,38,0.340151,0.0340185,0.37417
"20,20,20,20,20",0.001,3000,0.0783018,39,0.332449,0.0308688,0.363317
"20,20,20,20,20",0.001,3000,0.0783018,40,0.325317,0.0280692,0.353386
"20,20,20,20,20",0.001,3000,0.0783018,41,0.31868,0.0256715,0.344352
"20,20,20,20,20",0.001,3000,0.0783018,42,0.312543,0.0236312,0.336174
"20,20,20,20,20",0.001,3000,0.0783018,43,0.306856,0.0219369,0.328793
"20,20,20,20,20",0.001,3000,0.0783018,44,0.301578,0.0205555,0.322134
"20,20,20,20,20",0.001,3000,0.0783018,45,0.296675,0.0194377,0.316112
"20,20,20,20,20",0.001,3000,0.0783018,46,0.292087,0.018555,0.310642
"20,20,20,20,20",0.001,3000,0.0783018,47,0.287793,0.0178439,0.305637
"20,20,20,20,20",0.001,3000,0.0783018,48,0.283733,0.0172861,0.301019
"20,20,20,20,20",0.001,3000,0.0783018,49,0.279896,0.0168223,0.296718
"20,20,20,20,20",0.001,3000,0.0783018,50,0.276227,0.0164489,0.292676
"20,20,20,20,20",0.001,3000,0.0783018,51,0.272727,0.0161178,0.288845
"20,20,20,20,20",0.001,3000,0.0783018,52,0.269349,0.0158378,0.285187
"20,20,20,20,20",0.001,3000,0.0783018,53,0.266102,0.0155712,0.281673
"20,20,20,20,20",0.001,3000,0.0783018,54,0.262945,0.0153347,0.27828
"20,20,20,20,20",0.001,3000,0.0783018,55,0.259893,0.0150973,0.27499
"20,20,20,20,20",0.001,3000,0.0783018,56,0.25691,0.01488,0.27179
"20,20,20,20,20",0.001,3000,0.0783018,57,0.254015,0.0146553,0.268671
"20,20,20,20,20",0.001,3000,0.0783018,58,0.251177,0.0144463,0.265623
"20,20,20,20,20",0.001,3000,0.0783018,59,0.248414,0.0142269,0.262641
"20,20,20,20,20",0.001,3000,0.0783018,60,0.245697,0.0140214,0.259718
"20,20,20,20,20",0.001,3000,0.0783018,61,0.243048,0.0138039,0.256852
"20,20,20,20,20",0.001,3000,0.0783018,62,0.240437,0.0136,0.254037
"20,20,20,20,20",0.001,3000,0.0783018,63,0.237889,0.013383,0.251272
"20,20,20,20,20",0.001,3000,0.0783018,64,0.235372,0.01318,0.248552
"20,20,20,20,20",0.001,3000,0.0783018,65,0.232914,0.0129628,0.245876
"20,20,20,20,20",0.001,3000,0.0783018,66,0.230481,0.0127608,0.243242
"20,20,20,20,20",0.001,3000,0.0783018,67,0.228104,0.0125433,0.240647
"20,20,20,20,20",0.001,3000,0.0783018,68,0.225747,0.0123428,0.23809
"20,20,20,20,20",0.001,3000,0.0783018,69,0.223444,0.012125,0.235569
"20,20,20,20,20",0.001,3000,0.0783018,70,0.221155,0.0119267,0.233082
"20,20,20,20,20",0.001,3000,0.0783018,71,0.21892,0.0117085,0.230628
"20,20,20,20,20",0.001,3000,0.0783018,72,0.216693,0.0115134,0.228206
"20,20,20,20,20",0.001,3000,0.0783018,73,0.21452,0.0112949,0.225815
"20,20,20,20,20",0.001,3000,0.0783018,74,0.212349,0.0111043,0.223454
"20,20,20,20,20",0.001,3000,0.0783018,75,0.210236,0.0108851,0.221121
"20,20,20,20,20",0.001,3000,0.0783018,76,0.208115,0.0107004,0.218815
"20,20,20,20,20",0.001,3000,0.0783018,77,0.206056,0.0104799,0.216536
"20,20,20,20,20",0.001,3000,0.0783018,78,0.20398,0.0103032,0.214283
"20,20,20,20,20",0.001,3000,0.0783018,79,0.201975,0.0100801,0.212055
"20,20,20,20,20",0.001,3000,0.0783018,80,0.199937,0.00991407,0.209851
"20,20,20,20,20",0.001,3000,0.0783018,81,0.197985,0.00968635,0.207671
"20,20,20,20,20",0.001,3000,0.0783018,82,0.195979,0.00953449,0.205514
"20,20,20,20,20",0.001,3000,0.0783018,83,0.194081,0.00929874,0.20338
"20,20,20,20,20",0.001,3000,0.0783018,84,0.192102,0.00916599,0.201268
"20,20,20,20,20",0.001,3000,0.0783018,85,0.190262,0.00891707,0.199179
"20,20,20,20,20",0.001,3000,0.0783018,86,0.188303,0.00881007,0.197113
"20,20,20,20,20",0.001,3000,0.0783018,87,0.18653,0.00854086,0.195071
"20,20,20,20,20",0.001,3000,0.0783018,88,0.184587,0.00846781,0.193055
"20,20,20,20,20",0.001,3000,0.0783018,89,0.182897,0.0081703,0.191068
"20,20,20,20,20",0.001,3000,0.0783018,90,0.180973,0.00813814,0.189112
"20,20,20,20,20",0.001,3000,0.0783018,91,0.179383,0.00780931,0.187192
"20,20,20,20,20",0.001,3000,0.0783018,92,0.177494,0.00781283,0.185307
"20,20,20,20,20",0.001,3000,0.0783018,93,0.175983,0.00747245,0.183455
"20,20,20,20,20",0.001,3000,0.0783018,94,0.174149,0.0074676,0.181617
"20,20,20,20,20",0.001,3000,0.0783018,95,0.172593,0.00719089,0.179784
"20,20,20,20,20",0.001,3000,0.0783018,96,0.170871,0.00706345,0.177934
"20,20,20,20,20",0.001,3000,0.0783018,97,0.16909,0.00700373,0.176094
"20,20,20,20,20",0.001,3000,0.0783018,98,0.167693,0.00657028,0.174263
"20,20,20,20,20",0.001,3000,0.0783018,99,0.165548,0.00694786,0.172496
"20,20,20,20,20",0.001,3000,0.0783018,100,0.164819,0.00597759,0.170797
"20,20,20,20,20",0.001,3000,0.0783018,101,0.162152,0.00705314,0.169205
"20,20,20,20,20",0.001,3000,0.0783018,102,0.16242,0.00531565,0.167736
"20,20,20,20,20",0.001,3000,0.0783018,103,0.159073,0.00726532,0.166338
"20,20,20,20,20",0.001,3000,0.0783018,104,0.160341,0.00470529,0.165046
"20,20,20,20,20",0.001,3000,0.0783018,105,0.156277,0.00736657,0.163643
"20,20,20,20,20",0.001,3000,0.0783018,106,0.15797,0.00427661,0.162247
"20,20,20,20,20",0.001,3000,0.0783018,107,0.153446,0.00718168,0.160628
"20,20,20,20,20",0.001,3000,0.0783018,108,0.154956,0.00403884,0.158995
"20,20,20,20,20",0.001,3000,0.0783018,109,0.150447,0.00678545,0.157232
"20,20,20,20,20",0.001,3000,0.0783018,110,0.151583,0.00391898,0.155502
"20,20,20,20,20",0.001,3000,0.0783018,111,0.147415,0.00634375,0.153759
"20,20,20,20,20",0.001,3000,0.0783018,112,0.148228,0.0038435,0.152071
"20,20,20,20,20",0.001,3000,0.0783018,113,0.144469,0.00595133,0.15042
"20,20,20,20,20",0.001,3000,0.0783018,114,0.145052,0.00376809,0.14882
"20,20,20,20,20",0.001,3000,0.0783018,115,0.141632,0.00563344,0.147265
"20,20,20,20,20",0.001,3000,0.0783018,116,0.142077,0.00367432,0.145752
"20,20,20,20,20",0.001,3000,0.0783018,117,0.138893,0.00538724,0.14428
"20,20,20,20,20",0.001,3000,0.0783018,118,0.139285,0.00355771,0.142842
"20,20,20,20,20",0.001,3000,0.0783018,119,0.136239,0.00520468,0.141444
"20,20,20,20,20",0.001,3000,0.0783018,120,0.136656,0.00341885,0.140075
"20,20,20,20,20",0.001,3000,0.0783018,121,0.133664,0.00507983,0.138744
"20,20,20,20,20",0.001,3000,0.0783018,122,0.134184,0.00325928,0.137443
"20,20,20,20,20",0.001,3000,0.0783018,123,0.131174,0.0050099,0.136184
"20,20,20,20,20",0.001,3000,0.0783018,124,0.131874,0.00308085,0.134955
"20,20,20,20,20",0.001,3000,0.0783018,125,0.12878,0.00499351,0.133774
"20,20,20,20,20",0.001,3000,0.0783018,126,0.129738,0.00288694,0.132625
"20,20,20,20,20",0.001,3000,0.0783018,127,0.126504,0.00502695,0.131531
"20,20,20,20,20",0.001,3000,0.0783018,128,0.127781,0.00268502,0.130466
"20,20,20,20,20",0.001,3000,0.0783018,129,0.124363,0.00509838,0.129461
"20,20,20,20,20",0.001,3000,0.0783018,130,0.125979,0.00248843,0.128467
"20,20,20,20,20",0.001,3000,0.0783018,131,0.12235,0.00518228,0.127532
"20,20,20,20,20",0.001,3000,0.0783018,132,0.124252,0.00231478,0.126567
"20,20,20,20,20",0.001,3000,0.0783018,133,0.120413,0.00524084,0.125654
"20,20,20,20,20",0.001,3000,0.0783018,134,0.122471,0.0021797,0.124651
"20,20,20,20,20",0.001,3000,0.0783018,135,0.118462,0.00523816,0.1237
"20,20,20,20,20",0.001,3000,0.0783018,136,0.120517,0.00209005,0.122607
"20,20,20,20,20",0.001,3000,0.0783018,137,0.116423,0.00515983,0.121583
"20,20,20,20,20",0.001,3000,0.0783018,138,0.118355,0.00204243,0.120398
"20,20,20,20,20",0.001,3000,0.0783018,139,0.114291,0.00501948,0.119311
"20,20,20,20,20",0.001,3000,0.0783018,140,0.116051,0.00202667,0.118078
"20,20,20,20,20",0.001,3000,0.0783018,141,0.11212,0.00484682,0.116966
"20,20,20,20,20",0.001,3000,0.0783018,142,0.113711,0.00203012,0.115741
"20,20,20,20,20",0.001,3000,0.0783018,143,0.109974,0.00467096,0.114645
"20,20,20,20,20",0.001,3000,0.0783018,144,0.111425,0.00204089,0.113466
"20,20,20,20,20",0.001,3000,0.0783018,145,0.107898,0.00451155,0.11241
"20,20,20,20,20",0.001,3000,0.0783018,146,0.109245,0.00204963,0.111294
"20,20,20,20,20",0.001,3000,0.0783018,147,0.105913,0.00437844,0.110291
"20,20,20,20,20",0.001,3000,0.0783018,148,0.107192,0.00205007,0.109242
"20,20,20,20,20",0.001,3000,0.0783018,149,0.104021,0.0042749,0.108296
"20,20,20,20,20",0.001,3000,0.0783018,150,0.105273,0.00203863,0.107312
"20,20,20,20,20",0.001,3000,0.0783018,151,0.102222,0.00420079,0.106423
"20,20,20,20,20",0.001,3000,0.0783018,152,0.103486,0.00201378,0.105499
"20,20,20,20,20",0.001,3000,0.0783018,153,0.100514,0.00415457,0.104669
"20,20,20,20,20",0.001,3000,0.0783018,154,0.101828,0.00197535,0.103803
"20,20,20,20,20",0.001,3000,0.0783018,155,0.0988981,0.00413419,0.103032
"20,20,20,20,20",0.001,3000,0.0783018,156,0.100298,0.00192425,0.102223
"20,20,20,20,20",0.001,3000,0.0783018,157,0.0973764,0.00413721,0.101514
"20,20,20,20,20",0.001,3000,0.0783018,158,0.098895,0.00186237,0.100757
"20,20,20,20,20",0.001,3000,0.0783018,159,0.0959512,0.00416034,0.100112
"20,20,20,20,20",0.001,3000,0.0783018,160,0.0976107,0.00179255,0.0994032
"20,20,20,20,20",0.001,3000,0.0783018,161,0.0946198,0.00419882,0.0988186
"20,20,20,20,20",0.001,3000,0.0783018,162,0.0964286,0.00171859,0.0981472
"20,20,20,20,20",0.001,3000,0.0783018,163,0.0933689,0.00424575,0.0976147
"20,20,20,20,20",0.001,3000,0.0783018,164,0.0953171,0.0016449,0.096962
"20,20,20,20,20",0.001,3000,0.0783018,165,0.0921722,0.00429184,0.0964641
"20,20,20,20,20",0.001,3000,0.0783018,166,0.0942311,0.001576,0.095807
"20,20,20,20,20",0.001,3000,0.0783018,167,0.0909948,0.00432604,0.0953208
"20,20,20,20,20",0.001,3000,0.0783018,168,0.0931226,0.00151571,0.0946383
"20,20,20,20,20",0.001,3000,0.0783018,169,0.0898048,0.00433745,0.0941422
"20,20,20,20,20",0.001,3000,0.0783018,170,0.0919565,0.00146633,0.0934228
"20,20,20,20,20",0.001,3000,0.0783018,171,0.0885852,0.00431832,0.0929035
"20,20,20,20,20",0.001,3000,0.0783018,172,0.0907205,0.00142817,0.0921486
"20,20,20,20,20",0.001,3000,0.0783018,173,0.0873373,0.00426678,0.0916041
"20,20,20,20,20",0.001,3000,0.0783018,174,0.0894271,0.0013997,0.0908268
"20,20,20,20,20",0.001,3000,0.0783018,175,0.0860772,0.00418748,0.0902647
"20,20,20,20,20",0.001,3000,0.0783018,176,0.0881061,0.00137822,0.0894843
