HIDDEN_LAYERS,OPTIMIZER_STEP,MAX_ITERATIONS,DELTA_X,EPOCH,DATA_MSE,GRAD_MSE,TRAINING_MSE
"30,30,30,30,30",0.0001,50000,0.0625,1,0.103902,0.998881,1.10278
"30,30,30,30,30",0.0001,50000,0.0625,2,0.0998567,0.999071,1.09893
"30,30,30,30,30",0.0001,50000,0.0625,3,0.0970471,0.999149,1.0962
"30,30,30,30,30",0.0001,50000,0.0625,4,0.094774,0.999177,1.09395
"30,30,30,30,30",0.0001,50000,0.0625,5,0.0928164,0.999174,1.09199
"30,30,30,30,30",0.0001,50000,0.0625,6,0.0910715,0.999148,1.09022
"30,30,30,30,30",0.0001,50000,0.0625,7,0.0894812,0.999105,1.08859
"30,30,30,30,30",0.0001,50000,0.0625,8,0.0880094,0.99905,1.08706
"30,30,30,30,30",0.0001,50000,0.0625,9,0.0866323,0.998985,1.08562
"30,30,30,30,30",0.0001,50000,0.0625,10,0.0853328,0.998913,1.08425
"30,30,30,30,30",0.0001,50000,0.0625,11,0.0840986,0.998834,1.08293
"30,30,30,30,30",0.0001,50000,0.0625,12,0.0829201,0.998749,1.08167
"30,30,30,30,30",0.0001,50000,0.0625,13,0.0817899,0.998659,1.08045
"30,30,30,30,30",0.0001,50000,0.0625,14,0.0807021,0.998564,1.07927
"30,30,30,30,30",0.0001,50000,0.0625,15,0.0796519,0.998466,1.07812
"30,30,30,30,30",0.0001,50000,0.0625,16,0.0786352,0.998363,1.077
"30,30,30,30,30",0.0001,50000,0.0625,17,0.0776488,0.998257,1.07591
"30,30,30,30,30",0.0001,50000,0.0625,18,0.0766898,0.998147,1.07484
"30,30,30,30,30",0.0001,50000,0.0625,19,0.0757557,0.998034,1.07379
"30,30,30,30,30",0.0001,50000,0.0625,20,0.0748446,0.997918,1.07276
"30,30,30,30,30",0.0001,50000,0.0625,21,0.0739546,0.997797,1.07175
"30,30,30,30,30",0.0001,50000,0.0625,22,0.0730841,0.997673,1.07076
"30,30,30,30,30",0.0001,50000,0.0625,23,0.0722319,0.997546,1.06978
"30,30,30,30,30",0.0001,50000,0.0625,24,0.0713965,0.997415,1.06881
"30,30,30,30,30",0.0001,50000,0.0625,25,0.0705771,0.99728,1.06786
"30,30,30,30,30",0.0001,50000,0.0625,26,0.0697726,0.997142,1.06691
"30,30,30,30,30",0.0001,50000,0.0625,27,0.0689821,0.996999,1.06598
"30,30,30,30,30",0.0001,50000,0.0625,28,0.0682049,0.996853,1.06506
"30,30,30,30,30",0.0001,50000,0.0625,29,0.0674403,0.996703,1.06414
"30,30,30,30,30",0.0001,50000,0.0625,30,0.0666876,0.99655,1.06324
"30,30,30,30,30",0.0001,50000,0.0625,31,0.0659462,0.996392,1.06234
"30,30,30,30,30",0.0001,50000,0.0625,32,0.0652157,0.996231,1.06145
"30,30,30,30,30",0.0001,50000,0.0625,33,0.0644955,0.996065,1.06056
"30,30,30,30,30",0.0001,50000,0.0625,34,0.0637852,0.995896,1.05968
"30,30,30,30,30",0.0001,50000,0.0625,35,0.0630844,0.995723,1.05881
"30,30,30,30,30",0.0001,50000,0.0625,36,0.0623926,0.995546,1.05794
"30,30,30,30,30",0.0001,50000,0.0625,37,0.0617097,0.995364,1.05707
"30,30,30,30,30",0.0001,50000,0.0625,38,0.0610352,0.995179,1.05621
"30,30,30,30,30",0.0001,50000,0.0625,39,0.0603688,0.99499,1.05536
"30,30,30,30,30",0.0001,50000,0.0625,40,0.0597103,0.994797,1.05451
"30,30,30,30,30",0.0001,50000,0.0625,41,0.0590594,0.994599,1.05366
"30,30,30,30,30",0.0001,50000,0.0625,42,0.0584159,0.994398,1.05281
"30,30,30,30,30",0.0001,50000,0.0625,43,0.0577796,0.994192,1.05197
"30,30,30,30,30",0.0001,50000,0.0625,44,0.0571502,0.993982,1.05113
"30,30,30,30,30",0.0001,50000,0.0625,45,0.0565277,0.993768,1.0503
"30,30,30,30,30",0.0001,50000,0.0625,46,0.0559117,0.993549,1.04946
"30,30,30,30,30",0.0001,50000,0.0625,47,0.0553022,0.993326,1.04863
"30,30,30,30,30",0.0001,50000,0.0625,48,0.0546989,0.993099,1.0478
"30,30,30,30,30",0.0001,50000,0.0625,49,0.0541018,0.992867,1.04697
"30,30,30,30,30",0.0001,50000,0.0625,50,0.0535107,0.992631,1.04614
"30,30,30,30,30",0.0001,50000,0.0625,51,0.0529255,0.99239,1.04532
"30,30,30,30,30",0.0001,50000,0.0625,52,0.0523461,0.992145,1.04449
"30,30,30,30,30",0.0001,50000,0.0625,53,0.0517724,0.991895,1.04367
"30,30,30,30,30",0.0001,50000,0.0625,54,0.0512043,0.991641,1.04284
"30,30,30,30,30",0.0001,50000,0.0625,55,0.0506417,0.991381,1.04202
"30,30,30,30,30",0.0001,50000,0.0625,56,0.0500845,0.991117,1.0412
"30,30,30,30,30",0.0001,50000,0.0625,57,0.0495326,0.990849,1.04038
"30,30,30,30,30",0.0001,50000,0.0625,58,0.0489861,0.990575,1.03956
"30,30,30,30,30",0.0001,50000,0.0625,59,0.0484447,0.990297,1.03874
"30,30,30,30,30",0.0001,50000,0.0625,60,0.0479085,0.990013,1.03792
"30,30,30,30,30",0.0001,50000,0.0625,61,0.0473775,0.989725,1.0371
"30,30,30,30,30",0.0001,50000,0.0625,62,0.0468515,0.989431,1.03628
"30,30,30,30,30",0.0001,50000,0.0625,63,0.0463305,0.989133,1.03546
"30,30,30,30,30",0.0001,50000,0.0625,64,0.0458145,0.98883,1.03464
"30,30,30,30,30",0.0001,50000,0.0625,65,0.0453035,0.988521,1.03382
"30,30,30,30,30",0.0001,50000,0.0625,66,0.0447974,0.988208,1.033
"30,30,30,30,30",0.0001,50000,0.0625,67,0.0442962,0.987889,1.03218
"30,30,30,30,30",0.0001,50000,0.0625,68,0.0437999,0.987565,1.03136
"30,30,30,30,30",0.0001,50000,0.0625,69,0.0433084,0.987236,1.03054
"30,30,30,30,30",0.0001,50000,0.0625,70,0.0428218,0.986901,1.02972
"30,30,30,30,30",0.0001,50000,0.0625,71,0.0423401,0.986561,1.0289
"30,30,30,30,30",0.0001,50000,0.0625,72,0.0418632,0.986217,1.02808
"30,30,30,30,30",0.0001,50000,0.0625,73,0.0413912,0.985866,1.02726
"30,30,30,30,30",0.0001,50000,0.0625,74,0.0409239,0.985511,1.02643
"30,30,30,30,30",0.0001,50000,0.0625,75,0.0404615,0.98515,1.02561
"30,30,30,30,30",0.0001,50000,0.0625,76,0.040004,0.984784,1.02479
"30,30,30,30,30",0.0001,50000,0.0625,77,0.0395512,0.984412,1.02396
"30,30,30,30,30",0.0001,50000,0.0625,78,0.0391033,0.984035,1.02314
"30,30,30,30,30",0.0001,50000,0.0625,79,0.0386603,0.983653,1.02231
"30,30,30,30,30",0.0001,50000,0.0625,80,0.0382221,0.983265,1.02149
"30,30,30,30,30",0.0001,50000,0.0625,81,0.0377888,0.982872,1.02066
"30,30,30,30,30",0.0001,50000,0.0625,82,0.0373604,0.982474,1.01983
"30,30,30,30,30",0.0001,50000,0.0625,83,0.0369369,0.982071,1.01901
"30,30,30,30,30",0.0001,50000,0.0625,84,0.0365183,0.981662,1.01818
"30,30,30,30,30",0.0001,50000,0.0625,85,0.0361046,0.981248,1.01735
"30,30,30,30,30",0.0001,50000,0.0625,86,0.0356959,0.980828,1.01652
"30,30,30,30,30",0.0001,50000,0.0625,87,0.0352921,0.980404,1.0157
"30,30,30,30,30",0.0001,50000,0.0625,88,0.0348933,0.979974,1.01487
"30,30,30,30,30",0.0001,50000,0.0625,89,0.0344996,0.979539,1.01404
"30,30,30,30,30",0.0001,50000,0.0625,90,0.0341108,0.9791,1.01321
"30,30,30,30,30",0.0001,50000,0.0625,91,0.0337272,0.978655,1.01238
"30,30,30,30,30",0.0001,50000,0.0625,92,0.0333486,0.978205,1.01155
"30,30,30,30,30",0.0001,50000,0.0625,93,0.0329751,0.97775,1.01073
"30,30,30,30,30",0.0001,50000,0.0625,94,0.0326067,0.977291,1.0099
"30,30,30,30,30",0.0001,50000,0.0625,95,0.0322434,0.976827,1.00907
"30,30,30,30,30",0.0001,50000,0.0625,96,0.0318854,0.976358,1.00824
"30,30,30,30,30",0.0001,50000,0.0625,97,0.0315325,0.975884,1.00742
"30,30,30,30,30",0.0001,50000,0.0625,98,0.0311848,0.975406,1.00659
"30,30,30,30,30",0.0001,50000,0.0625,99,0.0308424,0.974924,1.00577
"30,30,30,30,30",0.0001,50000,0.0625,100,0.0305052,0.974437,1.00494
"30,30,30,30,30",0.0001,50000,0.0625,101,0.0301733,0.973947,1.00412
"30,30,30,30,30",0.0001,50000,0.0625,102,0.0298468,0.973452,1.0033
"30,30,30,30,30",0.0001,50000,0.0625,103,0.0295255,0.972953,1.00248
"30,30,30,30,30",0.0001,50000,0.0625,104,0.0292096,0.972451,1.00166
"30,30,30,30,30",0.0001,50000,0.0625,105,0.028899,0.971944,1.00084
"30,30,30,30,30",0.0001,50000,0.0625,106,0.0285938,0.971435,1.00003
"30,30,30,30,30",0.0001,50000,0.0625,107,0.028294,0.970922,0.999216
"30,30,30,30,30",0.0001,50000,0.0625,108,0.0279996,0.970405,0.998405
"30,30,30,30,30",0.0001,50000,0.0625,109,0.0277106,0.969886,0.997597
"30,30,30,30,30",0.0001,50000,0.0625,110,0.0274271,0.969364,0.996791
"30,30,30,30,30",0.0001,50000,0.0625,111,0.027149,0.968839,0.995987
"30,30,30,30,30",0.0001,50000,0.0625,112,0.0268763,0.968311,0.995187
"30,30,30,30,30",0.0001,50000,0.0625,113,0.0266091,0.967781,0.99439
"30,30,30,30,30",0.0001,50000,0.0625,114,0.0263473,0.967249,0.993596
"30,30,30,30,30",0.0001,50000,0.0625,115,0.0260911,0.966714,0.992805
"30,30,30,30,30",0.0001,50000,0.0625,116,0.0258402,0.966178,0.992018
"30,30,30,30,30",0.0001,50000,0.0625,117,0.0255948,0.96564,0.991235
"30,30,30,30,30",0.0001,50000,0.0625,118,0.0253549,0.965101,0.990456
"30,30,30,30,30",0.0001,50000,0.0625,119,0.0251204,0.964561,0.989681
"30,30,30,30,30",0.0001,50000,0.0625,120,0.0248913,0.964019,0.98891
"30,30,30,30,30",0.0001,50000,0.0625,121,0.0246676,0.963477,0.988144
"30,30,30,30,30",0.0001,50000,0.0625,122,0.0244493,0.962934,0.987383
"30,30,30,30,30",0.0001,50000,0.0625,123,0.0242364,0.96239,0.986627
"30,30,30,30,30",0.0001,50000,0.0625,124,0.0240289,0.961847,0.985876
"30,30,30,30,30",0.0001,50000,0.0625,125,0.0238266,0.961303,0.98513
"30,30,30,30,30",0.0001,50000,0.0625,126,0.0236297,0.96076,0.98439
"30,30,30,30,30",0.0001,50000,0.0625,127,0.023438,0.960217,0.983655
"30,30,30,30,30",0.0001,50000,0.0625,128,0.0232516,0.959675,0.982927
"30,30,30,30,30",0.0001,50000,0.0625,129,0.0230703,0.959134,0.982204
"30,30,30,30,30",0.0001,50000,0.0625,130,0.0228942,0.958594,0.981489
"30,30,30,30,30",0.0001,50000,0.0625,131,0.0227232,0.958056,0.980779
"30,30,30,30,30",0.0001,50000,0.0625,132,0.0225572,0.957519,0.980076
"30,30,30,30,30",0.0001,50000,0.0625,133,0.0223963,0.956984,0.979381
"30,30,30,30,30",0.0001,50000,0.0625,134,0.0222403,0.956452,0.978692
